EmployeeID,Name,Department,Location,Position,HireDate,Salary,PerformanceRating,DateOfBirth,Gender,ContactInfo,MaritalStatus,EmergencyContact,PreviousPositions,Education,Certifications,Address,WorkRemote,Absences,EmploymentStatus,Race,BonusReceived,BenefitsEligibility,EnrolledInBenefits,WorkAuthorization,Travel,CompanyAssignedComputer
E001,Joy Evans,HR,New Autumn,Coordinator,2021-06-07,110718,4,2001-04-07,Male,danielsellers@miller.com,Married,"Samuel Fowler, 001-204-923-9651x821",Junior Developer,High School,AWS Certified Developer,"253 Taylor Lock Suite 998
North Sandratown, PA 46838",Office,1,Full-time,Asian,Yes,Eligible,Yes,Authorized,Yes,Yes
E002,Kevin Sims,IT,Bishopstad,Coordinator,2022-08-24,59122,5,1980-04-24,Female,justin71@stephens.com,Married,"James Jackson, 1313571541",Junior Specialist,PhD,CFA Level 1,"3039 Wyatt Common Apt. 164
Juanstad, CA 22298",Remote,10,Full-time,White,Yes,Eligible,Yes,Authorized,No,Yes
E003,Dr. Isabel Welch,Marketing,North Cynthiamouth,Specialist,2022-05-15,68629,1,1976-06-24,Female,taylorjohnson@cooper.biz,Divorced,"Michele Andrews, 001-635-448-0875x928",Assistant Manager,Master's Degree,CFA Level 1,"2523 Walter Village Apt. 575
East Laurenview, LA 33022",Remote,3,Full-time,Asian,Yes,Eligible,No,Authorized,No,Yes
E004,Michaela Douglas,Finance,Ericton,Manager,2023-10-01,115866,5,1991-08-22,Female,gonzaleztimothy@yahoo.com,Divorced,"William Johnson, 001-678-551-8048x8375",Assistant Coordinator,Master's Degree,CFA Level 1,"6291 Gregory Haven Suite 719
Lake Rebeccastad, HI 46962",Remote,6,Full-time,White,Yes,Eligible,No,Authorized,No,Yes
E005,Angela Owens,Sales,Trevorchester,Coordinator,2021-02-18,55756,3,1984-08-16,Female,marieho@yahoo.com,Married,"Troy Wright, 760-463-1209",Trainee Developer,PhD,PMP,"22987 Lisa Run
East Melissamouth, PA 14302",Remote,3,Full-time,Asian,No,Eligible,Yes,Authorized,No,Yes
E006,Tony Harding,Sales,Port Nathan,Manager,2023-01-24,60484,5,1986-07-30,Female,edwardwhite@white.com,Married,"Barry Romero, +1-106-719-9050x4067",Intern Coordinator,Master's Degree,AWS Certified Developer,"7283 Fernando Groves Suite 573
Millerberg, CO 39711",Office,5,Full-time,Black,No,Eligible,No,Authorized,Yes,Yes
E007,Grace Collins,HR,Kellyfort,Manager,2023-05-23,107054,3,1968-07-08,Male,donald13@webster-sims.com,Single,"Tracy Wolf, 001-084-743-9297x2376",Junior Manager,PhD,PMP,"2670 Brandon Brook
East Trevorton, MN 35875",Remote,1,Full-time,Hispanic,No,Eligible,Yes,Authorized,Yes,Yes
E008,Nicholas Jones,Finance,Port Tammy,Manager,2019-09-01,78746,5,1965-02-09,Female,robert89@yahoo.com,Married,"Garrett Stephens, +1-055-277-0674x20036",Junior Coordinator,Bachelor's Degree,PMP,"8908 Romero Plaza
Joshuatown, KY 65285",Remote,10,Full-time,Asian,No,Eligible,No,Authorized,Yes,Yes
E009,Angela Taylor,IT,New Sarahshire,Analyst,2022-08-19,62460,4,1986-05-05,Male,johnsoncheryl@hotmail.com,Divorced,"Emily Perez, +1-303-729-4084x10071",Assistant Coordinator,Master's Degree,SHRM-CP,"306 Henderson Lane Suite 305
East Daniel, NM 18042",Remote,8,Full-time,Black,Yes,Eligible,No,Authorized,No,Yes
E010,Stephen Cooper,HR,Javierfort,Developer,2024-02-21,105587,2,2000-02-10,Male,sanchezmichael@floyd.com,Single,"Peter Branch, 998-095-3121x8407",Assistant Manager,PhD,CFA Level 1,"212 Berg Mission
Brianmouth, NE 31405",Remote,10,Full-time,Asian,Yes,Eligible,Yes,Authorized,Yes,Yes
